"#From Adachi: Model dielectric constants of GaP, GaAs, GaSb, InP, InAs, and InSb ",
#Energy (eV),#eps 1
0.243572548,9.545446836
0.594595444,9.705397332
0.715749312,9.83083041
0.828526945,9.992392284
0.932945095,10.1540107
1.049843836,10.44179721
1.15839147,10.71160412
1.258562868,11.01753984
1.308568993,11.34185092
1.350182131,11.73836305
1.488013084,11.9538637
1.584122008,12.00732188
1.705317758,12.04257431
1.822317013,12.11392727
1.905853209,12.23961478
2.014400843,12.50942169
2.089585931,12.61712961
2.193911943,12.97714544
2.294016332,13.42737019
2.398367472,13.73327763
2.490053744,14.30981182
2.602638724,14.88620465
2.698446104,15.58896347
2.806792708,16.29163748
2.923440162,17.12050785
2.998348835,17.82340802
3.120147673,16.56005918
3.222982715,11.13050594
3.320657995,7.811208031
3.39642942,6.656386932
3.39642942,6.656386932
3.475945023,6.43941626
3.601429405,6.24017075
3.705914564,6.257500133
3.814529208,6.38301802
3.914801122,6.472520189
3.968970236,6.832875258
4.090031966,7.156705752
4.206863697,7.588781289
4.311139451,8.057013893
4.381994026,8.489400398
4.519699335,8.975442972
4.60821939,7.369633843
4.698381188,2.22874347
4.759636597,-3.669466423
4.860972292,-5.870552612
4.949567734,-7.638686899
5.058316398,-7.801747073
5.166478725,-6.702278231
5.241286883,-5.782944519
5.349608359,-5.026162124
5.441403522,-4.684097612
5.541625178,-4.486378671
5.66263665,-4.054331404
5.746063955,-3.694174224
5.862878933,-3.226026429
