"#From Adachi: Model dielectric constants of GaP, GaAs, Gasb, InP, InAs, and Insb",
#Energy (eV),#Eps1
0.101738474,15.63470201
0.151968082,15.95199655
0.5933358,16.14084698
0.790691804,16.5099806
0.980223096,17.11234974
1.189069496,17.84829365
1.475216485,19.00187049
1.575457708,20.26979017
1.683385967,21.70447261
1.799397084,22.15592275
1.882784198,16.14029842
1.976336554,14.34146782
2.061662637,13.9425344
2.170198974,13.61055777
2.278987721,12.54525096
2.384695918,9.179905647
2.474267079,7.697691954
2.55964479,7.148759175
2.675902581,6.883545731
2.80369666,6.851809823
2.900461509,6.969686051
2.997157518,7.287561417
3.074555629,7.421862227
3.167431068,7.589689837
3.287526639,7.424524365
3.384595527,6.659071059
3.489448972,5.777048394
3.594394201,4.628360209
3.695639329,2.979625773
3.781762798,0.26403565
3.899058912,-3.017831482
3.973973078,-6.916895055
4.067674586,-9.149057119
4.19532525,-8.764128153
4.303442816,-7.87944335
4.392222327,-7.061666939
4.492698751,-6.477077651
