#Experimental InAs epsilon 2 data from: Adachi 1986,
#energy (eV),#Epsilon 2
0.349693925,0.126985833
0.364383673,0.450003256
0.415207746,0.71354439
0.441854994,0.832068674
0.494942787,0.945251621
0.553279602,1.032523533
0.606359878,1.16532926
0.685880699,1.281289972
0.746830751,1.35901027
1.486330408,3.1605298
1.5791166,3.567147843
1.690360812,3.783661615
1.783101904,4.10616226
1.881170943,4.589228128
1.989801918,5.013119333
2.082625692,5.846111543
2.199254224,6.707099531
2.28953241,8.543328874
2.393128582,11.69388749
2.457045147,16.37633274
2.59992631,15.54337114
2.674077844,16.00835303
2.795876475,16.48781562
2.891039134,14.7062101
2.978279401,13.33321316
3.092039135,12.61346525
3.192563564,11.93245574
3.391036768,11.36307092
3.391036768,11.36307092
3.298400906,11.4742904
3.488955476,11.14314849
3.597466188,10.96334907
3.698054507,10.96415025
3.80130492,11.10929972
3.894004672,11.63035265
4.0052564,12.41719868
4.09537674,13.78748641
4.201420786,15.86971743
4.326095732,19.95231492
4.397735501,23.11564931
4.604014591,19.56871384
4.699083293,16.08441757
4.778201981,12.46485648
4.878549772,10.11236823
4.986925186,8.844555155
5.10333574,8.394526532
5.20381507,7.635794316
5.299071684,7.390714951
5.396870129,6.52778108
5.505301917,5.996328989
5.603213109,5.841953364
5.693190635,5.728854344
5.809646287,5.654906048
5.915555037,5.786251214
