*Wavelength (um) n k 
ComplexRefractiveIndex { 
  Formula = 1 
NumericalTable( 
0.8267 3.406 0.1475; 
0.8275 3.406 0.1475; 
0.8283 3.406 0.1476; 
0.8292 3.406 0.1476; 
0.83 3.406 0.1477; 
0.8308 3.406 0.1477; 
0.8317 3.406 0.1477; 
0.8325 3.406 0.1478; 
0.8333 3.406 0.1478; 
0.8342 3.406 0.1479; 
0.835 3.406 0.1479; 
0.8359 3.406 0.148; 
0.8367 3.406 0.148; 
0.8376 3.406 0.1481; 
0.8384 3.406 0.1481; 
0.8393 3.406 0.1482; 
0.8401 3.406 0.1482; 
0.841 3.406 0.1482; 
0.8418 3.406 0.1483; 
0.8427 3.406 0.1483; 
0.8435 3.406 0.1484; 
0.8444 3.406 0.1484; 
0.8453 3.406 0.1485; 
0.8461 3.406 0.1485; 
0.847 3.406 0.1486; 
0.8479 3.406 0.1486; 
0.8487 3.406 0.1487; 
0.8496 3.406 0.1487; 
0.8505 3.406 0.1488; 
0.8514 3.406 0.1488; 
0.8522 3.406 0.1488; 
0.8531 3.406 0.1489; 
0.854 3.406 0.1489; 
0.8549 3.406 0.149; 
0.8558 3.406 0.149; 
0.8567 3.406 0.1491; 
0.8575 3.406 0.1491; 
0.8584 3.406 0.1492; 
0.8593 3.406 0.1492; 
0.8602 3.406 0.1493; 
0.8611 3.406 0.1493; 
0.862 3.406 0.1493; 
0.8629 3.406 0.1494; 
0.8638 3.406 0.1494; 
0.8647 3.406 0.1495; 
0.8656 3.406 0.1495; 
0.8665 3.406 0.1496; 
0.8675 3.406 0.1496; 
0.8684 3.406 0.1497; 
0.8693 3.406 0.1497; 
0.8702 3.406 0.1498; 
0.8711 3.406 0.1498; 
0.872 3.406 0.1498; 
0.8729 3.406 0.1499; 
0.8739 3.406 0.1499; 
0.8748 3.406 0.15; 
0.8757 3.406 0.15; 
0.8767 3.406 0.1501; 
0.8776 3.406 0.1501; 
0.8785 3.406 0.1502; 
0.8795 3.406 0.1502; 
0.8804 3.406 0.1503; 
0.8813 3.406 0.1503; 
0.8823 3.406 0.1503; 
0.8832 3.406 0.1504; 
0.8842 3.406 0.1504; 
0.8851 3.406 0.1505; 
0.8861 3.406 0.1505; 
0.887 3.406 0.1506; 
0.888 3.406 0.1506; 
0.8889 3.406 0.1507; 
0.8899 3.406 0.1507; 
0.8908 3.406 0.1507; 
0.8918 3.406 0.1508; 
0.8928 3.406 0.1508; 
0.8937 3.406 0.1509; 
0.8947 3.406 0.1509; 
0.8957 3.406 0.151; 
0.8966 3.406 0.151; 
0.8976 3.406 0.1511; 
0.8986 3.406 0.1511; 
0.8996 3.406 0.1512; 
0.9005 3.406 0.1512; 
0.9015 3.406 0.1512; 
0.9025 3.406 0.1513; 
0.9035 3.406 0.1513; 
0.9045 3.406 0.1514; 
0.9055 3.406 0.1514; 
0.9065 3.406 0.1515; 
0.9075 3.406 0.1515; 
0.9085 3.406 0.1516; 
0.9095 3.406 0.1516; 
0.9105 3.406 0.1516; 
0.9115 3.406 0.1517; 
0.9125 3.406 0.1517; 
0.9135 3.406 0.1518; 
0.9145 3.406 0.1518; 
0.9155 3.406 0.1519; 
0.9165 3.406 0.1519; 
0.9175 3.406 0.152; 
0.9186 3.406 0.152; 
0.9196 3.406 0.152; 
0.9206 3.406 0.1521; 
0.9216 3.406 0.1521; 
0.9227 3.406 0.1522; 
0.9237 3.406 0.1522; 
0.9247 3.406 0.1523; 
0.9258 3.406 0.1523; 
0.9268 3.406 0.1524; 
0.9278 3.406 0.1524; 
0.9289 3.406 0.1524; 
0.9299 3.406 0.1525; 
0.931 3.406 0.1525; 
0.932 3.406 0.1526; 
0.9331 3.406 0.1526; 
0.9341 3.406 0.1527; 
0.9352 3.406 0.1527; 
0.9362 3.406 0.1527; 
0.9373 3.406 0.1528; 
0.9384 3.406 0.1528; 
0.9394 3.406 0.1529; 
0.9405 3.406 0.1529; 
0.9416 3.406 0.153; 
0.9427 3.406 0.153; 
0.9437 3.406 0.1531; 
0.9448 3.406 0.1531; 
0.9459 3.406 0.1531; 
0.947 3.406 0.1532; 
0.9481 3.406 0.1532; 
0.9491 3.406 0.1533; 
0.9502 3.406 0.1533; 
0.9513 3.406 0.1534; 
0.9524 3.406 0.1534; 
