Wavelength (nm), n , k
4.1328e+02, 3.4263e+00, 2.0612e+00
4.1462e+02, 3.4370e+00, 2.0671e+00
4.1597e+02, 3.4483e+00, 2.0733e+00
4.1733e+02, 3.4605e+00, 2.0798e+00
4.1870e+02, 3.4736e+00, 2.0865e+00
4.2007e+02, 3.4876e+00, 2.0933e+00
4.2146e+02, 3.5028e+00, 2.1002e+00
4.2285e+02, 3.5193e+00, 2.1071e+00
4.2425e+02, 3.5373e+00, 2.1138e+00
4.2567e+02, 3.5568e+00, 2.1201e+00
4.2709e+02, 3.5780e+00, 2.1257e+00
4.2852e+02, 3.6010e+00, 2.1303e+00
4.2996e+02, 3.6257e+00, 2.1335e+00
4.3141e+02, 3.6521e+00, 2.1346e+00
4.3287e+02, 3.6798e+00, 2.1334e+00
4.3434e+02, 3.7083e+00, 2.1293e+00
4.3582e+02, 3.7371e+00, 2.1220e+00
4.3732e+02, 3.7653e+00, 2.1113e+00
4.3882e+02, 3.7921e+00, 2.0974e+00
4.4033e+02, 3.8166e+00, 2.0806e+00
4.4185e+02, 3.8382e+00, 2.0615e+00
4.4338e+02, 3.8563e+00, 2.0411e+00
4.4493e+02, 3.8707e+00, 2.0202e+00
4.4648e+02, 3.8816e+00, 1.9998e+00
4.4805e+02, 3.8892e+00, 1.9808e+00
4.4962e+02, 3.8940e+00, 1.9638e+00
4.5121e+02, 3.8966e+00, 1.9495e+00
4.5281e+02, 3.8978e+00, 1.9382e+00
4.5442e+02, 3.8982e+00, 1.9301e+00
4.5604e+02, 3.8986e+00, 1.9253e+00
4.5767e+02, 3.8995e+00, 1.9238e+00
4.5931e+02, 3.9017e+00, 1.9255e+00
4.6097e+02, 3.9058e+00, 1.9303e+00
4.6264e+02, 3.9123e+00, 1.9378e+00
4.6432e+02, 3.9220e+00, 1.9479e+00
4.6601e+02, 3.9354e+00, 1.9599e+00
4.6772e+02, 3.9531e+00, 1.9734e+00
4.6943e+02, 3.9758e+00, 1.9877e+00
4.7117e+02, 4.0038e+00, 2.0018e+00
4.7291e+02, 4.0377e+00, 2.0149e+00
4.7466e+02, 4.0776e+00, 2.0255e+00
4.7643e+02, 4.1235e+00, 2.0324e+00
4.7822e+02, 4.1751e+00, 2.0338e+00
4.8001e+02, 4.2315e+00, 2.0281e+00
4.8182e+02, 4.2912e+00, 2.0136e+00
4.8364e+02, 4.3520e+00, 1.9890e+00
4.8548e+02, 4.4112e+00, 1.9541e+00
4.8733e+02, 4.4659e+00, 1.9095e+00
4.8920e+02, 4.5140e+00, 1.8568e+00
4.9108e+02, 4.5538e+00, 1.7982e+00
4.9297e+02, 4.5848e+00, 1.7361e+00
4.9488e+02, 4.6072e+00, 1.6726e+00
4.9680e+02, 4.6215e+00, 1.6095e+00
4.9874e+02, 4.6288e+00, 1.5481e+00
5.0069e+02, 4.6300e+00, 1.4894e+00
5.0266e+02, 4.6262e+00, 1.4339e+00
5.0465e+02, 4.6185e+00, 1.3820e+00
5.0665e+02, 4.6077e+00, 1.3336e+00
5.0866e+02, 4.5946e+00, 1.2889e+00
5.1069e+02, 4.5798e+00, 1.2475e+00
5.1274e+02, 4.5638e+00, 1.2094e+00
5.1481e+02, 4.5471e+00, 1.1742e+00
5.1689e+02, 4.5299e+00, 1.1417e+00
5.1899e+02, 4.5125e+00, 1.1117e+00
5.2110e+02, 4.4951e+00, 1.0839e+00
5.2324e+02, 4.4778e+00, 1.0581e+00
5.2539e+02, 4.4607e+00, 1.0341e+00
5.2755e+02, 4.4440e+00, 1.0117e+00
5.2974e+02, 4.4277e+00, 9.9083e-01
5.3195e+02, 4.4118e+00, 9.7122e-01
5.3417e+02, 4.3963e+00, 9.5280e-01
5.3641e+02, 4.3813e+00, 9.3542e-01
5.3867e+02, 4.3667e+00, 9.1899e-01
5.4095e+02, 4.3526e+00, 9.0342e-01
5.4325e+02, 4.3389e+00, 8.8862e-01
5.4557e+02, 4.3257e+00, 8.7451e-01
5.4791e+02, 4.3129e+00, 8.6103e-01
5.5026e+02, 4.3005e+00, 8.4811e-01
5.5264e+02, 4.2885e+00, 8.3572e-01
5.5504e+02, 4.2769e+00, 8.2379e-01
5.5746e+02, 4.2656e+00, 8.1228e-01
5.5990e+02, 4.2547e+00, 8.0116e-01
5.6237e+02, 4.2442e+00, 7.9040e-01
5.6485e+02, 4.2340e+00, 7.7995e-01
5.6736e+02, 4.2240e+00, 7.6980e-01
5.6989e+02, 4.2144e+00, 7.5993e-01
5.7244e+02, 4.2051e+00, 7.5030e-01
5.7502e+02, 4.1960e+00, 7.4089e-01
5.7761e+02, 4.1871e+00, 7.3170e-01
5.8024e+02, 4.1785e+00, 7.2270e-01
5.8288e+02, 4.1702e+00, 7.1387e-01
5.8555e+02, 4.1620e+00, 7.0521e-01
5.8825e+02, 4.1541e+00, 6.9670e-01
5.9097e+02, 4.1463e+00, 6.8833e-01
5.9371e+02, 4.1388e+00, 6.8009e-01
5.9648e+02, 4.1314e+00, 6.7198e-01
5.9928e+02, 4.1242e+00, 6.6397e-01
6.0210e+02, 4.1171e+00, 6.5607e-01
6.0495e+02, 4.1102e+00, 6.4826e-01
6.0783e+02, 4.1034e+00, 6.4055e-01
6.1073e+02, 4.0968e+00, 6.3292e-01
6.1366e+02, 4.0903e+00, 6.2537e-01
6.1662e+02, 4.0839e+00, 6.1789e-01
6.1961e+02, 4.0777e+00, 6.1049e-01
6.2263e+02, 4.0715e+00, 6.0315e-01
6.2568e+02, 4.0655e+00, 5.9587e-01
6.2875e+02, 4.0595e+00, 5.8865e-01
6.3186e+02, 4.0536e+00, 5.8148e-01
6.3500e+02, 4.0479e+00, 5.7437e-01
6.3817e+02, 4.0422e+00, 5.6730e-01
6.4137e+02, 4.0365e+00, 5.6029e-01
6.4461e+02, 4.0310e+00, 5.5332e-01
6.4787e+02, 4.0255e+00, 5.4639e-01
6.5117e+02, 4.0201e+00, 5.3950e-01
6.5451e+02, 4.0147e+00, 5.3265e-01
6.5788e+02, 4.0094e+00, 5.2584e-01
6.6128e+02, 4.0041e+00, 5.1907e-01
6.6472e+02, 3.9989e+00, 5.1234e-01
6.6819e+02, 3.9937e+00, 5.0564e-01
6.7170e+02, 3.9886e+00, 4.9897e-01
6.7525e+02, 3.9835e+00, 4.9233e-01
6.7884e+02, 3.9784e+00, 4.8573e-01
6.8246e+02, 3.9734e+00, 4.7917e-01
6.8612e+02, 3.9684e+00, 4.7263e-01
6.8983e+02, 3.9634e+00, 4.6613e-01
6.9357e+02, 3.9585e+00, 4.5965e-01
6.9735e+02, 3.9535e+00, 4.5321e-01
7.0118e+02, 3.9486e+00, 4.4680e-01
7.0505e+02, 3.9437e+00, 4.4042e-01
7.0896e+02, 3.9388e+00, 4.3408e-01
7.1291e+02, 3.9339e+00, 4.2777e-01
7.1691e+02, 3.9290e+00, 4.2149e-01
7.2095e+02, 3.9241e+00, 4.1524e-01
7.2504e+02, 3.9192e+00, 4.0903e-01
7.2918e+02, 3.9143e+00, 4.0285e-01
7.3336e+02, 3.9094e+00, 3.9671e-01
7.3759e+02, 3.9045e+00, 3.9061e-01
7.4187e+02, 3.8996e+00, 3.8454e-01
7.4620e+02, 3.8947e+00, 3.7851e-01
7.5058e+02, 3.8898e+00, 3.7252e-01
7.5502e+02, 3.8848e+00, 3.6657e-01
7.5950e+02, 3.8799e+00, 3.6067e-01
7.6404e+02, 3.8749e+00, 3.5481e-01
7.6864e+02, 3.8699e+00, 3.4899e-01
7.7328e+02, 3.8649e+00, 3.4323e-01
7.7799e+02, 3.8599e+00, 3.3751e-01
7.8275e+02, 3.8549e+00, 3.3184e-01
7.8758e+02, 3.8498e+00, 3.2622e-01
7.9246e+02, 3.8447e+00, 3.2066e-01
7.9740e+02, 3.8396e+00, 3.1516e-01
8.0241e+02, 3.8345e+00, 3.0971e-01
8.0748e+02, 3.8294e+00, 3.0433e-01
8.1261e+02, 3.8242e+00, 2.9901e-01
8.1781e+02, 3.8190e+00, 2.9376e-01
8.2307e+02, 3.8137e+00, 2.8858e-01
8.2841e+02, 3.8085e+00, 2.8347e-01
8.3381e+02, 3.8032e+00, 2.7843e-01
8.3929e+02, 3.7979e+00, 2.7347e-01
8.4483e+02, 3.7926e+00, 2.6859e-01
8.5045e+02, 3.7872e+00, 2.6380e-01
8.5615e+02, 3.7819e+00, 2.5909e-01
8.6192e+02, 3.7765e+00, 2.5448e-01
8.6777e+02, 3.7711e+00, 2.4996e-01
8.7370e+02, 3.7656e+00, 2.4553e-01
8.7972e+02, 3.7602e+00, 2.4121e-01
8.8581e+02, 3.7547e+00, 2.3699e-01
8.9199e+02, 3.7492e+00, 2.3289e-01
